Stack,application,product,color,part no.,global product id,Is Visualizable?
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Mosaic 1x3 Herringbone - Arctic White 0190,6CWM13H/0190,07b30d72-9929-4d2a-ba1c-6ecd65c58c4f,Yes
WBS - estimated items,Flooring,Tile,Magnetic 6x18 - Vision,6BNMA618/VI,07bf3015-4018-4e1a-a5ec-8fb6f4be6212,Yes
WBS - estimated items,Flooring,Tile,Magnolia 6x18 - Vision,6MA618/VI,07bf3015-4018-4e1a-a5ec-8fb6f4be6212,Yes
Echelon-EPP - estimated items,Flooring,Tile,Artistic Reflections 3 in Hex Gloss - Rose AE13,6AR3HG/AE13,085d3305-1132-4fc7-99f6-e3eecbe7506c,Yes
WBS - estimated items,Flooring,Tile,Nagara Stacked Mosaic (11x11 Mesh) - Navy,6NAS/NA,086054fe-01b3-41d7-b435-7acc32126457,Yes
WBS - estimated items,Flooring,Tile,Notice Stacked Mosaic (11x11 Mesh) - Navy,6BNNAS/NA,086054fe-01b3-41d7-b435-7acc32126457,Yes
WBS - estimated items,Flooring,Tile,(VC) CF Platinum 6x36 - VC01 White,6VI636/VC01,0873e5b9-567a-4fcd-9d5d-32751b005b59,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Mosaic 2x2 Straight Joint Matte - Black K711,6CWM2ST/K111,08b9f1bc-ba2e-4e6a-be54-8213a9b00c9b,Yes
Echelon-EPP - estimated items,Flooring,Tile,Modern Formation Unpolished 24x24 - Canyon Taupe,6MFUNP24/MF03,090c16f1-ce83-4cdf-976b-a552ff0b7cde,Yes
Echelon-EPP - estimated items,Flooring,Tile,"DT Perpetuo 4x12 Satin - Timeless White PT20 ",6DTP412/PT20,0928868e-e38d-44cf-addd-7991ad5d50e7,Yes
WBS - estimated items,Flooring,Tile,Casablanca 8x8 - Market Blue,6C88/MB,09484c63-4fe5-4035-a82f-13ddf4c334ae,Yes
WBS - estimated items,Flooring,Tile,Grace 8x8 - Market Blue,6BNC88/MB,09484c63-4fe5-4035-a82f-13ddf4c334ae,Yes
Echelon-EPP - estimated items,Flooring,Tile,Influence 1in Hex (10x12 Mesh) - White & Black,6INF1H/WB,095377e4-d878-4857-8b55-8b7815c03480,Yes
WBS - estimated items,Flooring,Tile,Ideal Hex Gloss Mosaic (10x12 Mesh) 1x1 - White/Black,6BNIHM/WB,095377e4-d878-4857-8b55-8b7815c03480,Yes
WBS - estimated items,Flooring,Tile,Influence Hex Gloss Mosaic (10x12 Mesh) 1x1 - White/Black,6IHM/WB,095377e4-d878-4857-8b55-8b7815c03480,Yes
Echelon-EPP - estimated items,Flooring,Tile,Influence 1in Hex (10x12 Mesh) - White & Black,6INF1H/WB,095377e4-d878-4857-8b55-8b7815c03480,Yes
WBS - estimated items,Flooring,Tile,Ideal Hex Gloss Mosaic (10x12 Mesh) 1x1 - White/Black,6BNIHM/WB,095377e4-d878-4857-8b55-8b7815c03480,Yes
WBS - estimated items,Flooring,Tile,Influence Hex Gloss Mosaic (10x12 Mesh) 1x1 - White/Black,6IHM/WB,095377e4-d878-4857-8b55-8b7815c03480,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Savoir 3x3 Mosaic Matte - -Noir,6DTS33MM/SV14,09593860-e03c-441f-ac4e-107fac20a642,Yes
Echelon-EPP - estimated items,Flooring,Tile,"DT Stagecraft 3x12 - Arctic White 0190 ",6DTSC312/0190,0984125a-d48c-4809-9afe-3948800d6499,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Source 3 in. Hex Matte Mosaic Mesh - Fawn,6SOUR3H/FA,09cbb4bf-5eeb-4b90-bd73-507cb575b2aa,Yes
WBS - estimated items,Flooring,Tile,Shift Hex Mosaic (9x10 Mesh) 3x3 - Fawn,6BNSH3M/FA,09cbb4bf-5eeb-4b90-bd73-507cb575b2aa,Yes
WBS - estimated items,Flooring,Tile,Source Hex Mosaic (9x10 Mesh) 3x3 - Fawn,6SH3M/FA,09cbb4bf-5eeb-4b90-bd73-507cb575b2aa,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Source 3 in. Hex Matte Mosaic Mesh - Fawn,6SOUR3H/FA,09cbb4bf-5eeb-4b90-bd73-507cb575b2aa,Yes
WBS - estimated items,Flooring,Tile,Shift Hex Mosaic (9x10 Mesh) 3x3 - Fawn,6BNSH3M/FA,09cbb4bf-5eeb-4b90-bd73-507cb575b2aa,Yes
WBS - estimated items,Flooring,Tile,Source Hex Mosaic (9x10 Mesh) 3x3 - Fawn,6SH3M/FA,09cbb4bf-5eeb-4b90-bd73-507cb575b2aa,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Famed 12x24 Matte - Glamour FM13 ",6FAM1224M/FM13,09d24901-c3db-44f7-bced-39373b82e08c,Yes
Echelon-EPP - estimated items,Flooring,Tile,Perpetuo 12x24 Matte - Timeless White PT20,6PERM1224/TW,09fcef6e-fc15-404f-ae39-e6cf06375a42,Yes
WBS - estimated items,Flooring,Tile,Energy Stacked Mosaic (12x12 Mesh) 1x3 - Glacier,6BNERS/GL,0a387722-e3c9-4ba8-92c7-3469f1de4ca7,Yes
WBS - estimated items,Flooring,Tile,Erosion Stacked Mosaic (12x12 Mesh) 1x3 - Glacier,6ERS/GL,0a387722-e3c9-4ba8-92c7-3469f1de4ca7,Yes
Echelon-EPP - estimated items,Flooring,Tile,"DT Savoir 24x24 Polished - Cafe SV11 ",6DTS2424P/SV11,0a7db6fb-dd8c-4bb5-9ac6-8f9ce4f26380,Yes
WBS - estimated items,Flooring,Tile,Ideal Arabesque Gloss  Mosaic (10x12 Mesh) - White,6BNIAM/WH,0ad53fa3-72f4-418d-ae24-4e28b62114a5,Yes
WBS - estimated items,Flooring,Tile,Influence Arabesque Gloss  Mosaic (10x12 Mesh) - White,6IAM/WH,0ad53fa3-72f4-418d-ae24-4e28b62114a5,Yes
Echelon-EPP - estimated items,Flooring,Tile,Statuette Picket Mosaic 12x12 - Harbor beige,6STAMP/SE74,0af5c9b0-6740-43c7-a8df-3e5f8fea88c3,Yes
WBS - estimated items,Flooring,Tile,Sublime Marble Herringbone Mosaic (11x11 Mesh) - M072 Namaste,6BNSUHM/M072,0b087c0b-4e43-4af9-a801-fde27981bf8e,Yes
WBS - estimated items,Flooring,Tile,Sublimity Marble Herringbone Mosaic (11x11 Mesh) 1x4 - M072 Namaste,6SUHM/M072,0b087c0b-4e43-4af9-a801-fde27981bf8e,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Dunham 12x23 - Rajmata ",6DUN123/RA,0b0e4eb6-f6a6-4d5d-8eba-b276fa6c5f96,Yes
Echelon-EPP - estimated items,Flooring,Tile,Magnolia Bend 6x36-Natural Driftwood,6636MB/ND,0b415871-7f7a-490e-b6d4-f18999cb6e59,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Divinium 8x9 Hex - Zion DV07,6DTDVH/DV07,0b6bf6ea-21b0-4b57-b68b-335208a04adc,Yes
WBS - estimated items,Flooring,Tile,Beam 3x12 - Anthracita,6BNBRL312/AN,0ba3a536-9158-4d09-b759-38685a9d0652,Yes
WBS - estimated items,Flooring,Tile,Brickell 3x12 - Anthracita,6BRL312/AN,0ba3a536-9158-4d09-b759-38685a9d0652,Yes
Echelon-EPP - estimated items,Flooring,Tile,Color Wheel Linear 8x24 - Suede Gray 0182,6CWL824/0182,0bab6cd1-3e06-4edc-97c7-296bd59e2183,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Artistic Reflections 2x20 - Wave AE12,6ARTRL220/AE12,0c1f6033-d9ca-490b-8a46-15aab09ba572,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Moroccan Concrete 1.5"" Hex (12x10 Mesh) - Light Moss MC53 ",6MC15H/MC53,0c679f40-be49-4510-9961-d82c89ee1f2b,Yes
WBS - estimated items,Flooring,Tile,Magnetic 6x18 - Arena,6BNMA618/AR,0c7f7ccc-5ab3-44a1-a61c-ad8ae7a5dc50,Yes
WBS - estimated items,Flooring,Tile,Magnolia 6x18 - Arena,6MA618/AR,0c7f7ccc-5ab3-44a1-a61c-ad8ae7a5dc50,Yes
Echelon-EPP - estimated items,Flooring,Tile,Costa Clara 3x12 Undulated Glossy - Ocean Drive CC85,6CO312/CC85,0d2dd0e3-bea7-4942-9214-2317fde6420a,Yes
WBS - estimated items,Flooring,Tile,Care Wall 3x12 - CC85 Ocean Drive,6BNCO312/CC85,0d2dd0e3-bea7-4942-9214-2317fde6420a,Yes
WBS - estimated items,Flooring,Tile,Costa Clara Wall 3x12 - CC85 Ocean Drive,6CO312/CC85,0d2dd0e3-bea7-4942-9214-2317fde6420a,Yes
Echelon-EPP - estimated items,Flooring,Tile,Uptown Glass 1x1 Hex Mosaic - Posh Resort UP25,6UPG/UP25,0d6e24f0-0bf5-46f7-b983-758f6432618f,Yes
WBS - estimated items,Flooring,Tile,Mesmerist 3x6 - MM31 Trance,6MES36/MM31,0d996e6e-4387-433f-ab62-0abec598fba6,Yes
Echelon-EPP - estimated items,Flooring,Tile,Sterlina 24 x 24 Polished-Ivory,6Sterp2424/Ivory,0df3da25-b1b1-4e2c-9aef-575287139b48,Yes
Echelon-EPP - estimated items,Flooring,Tile,D_Segni 8x8 Deco Matte - Stella Sand Blend MOUF,6DSEGD/MOUF,0df6eeba-e1c4-40fb-9a14-66f6734aecc6,Yes
Echelon-EPP - estimated items,Flooring,Tile,Intrigue Picket Mosaic (11x15 Mesh) - Mirror,6IPM/MI,0e0d6730-946f-4053-84f3-ebf71dad3973,Yes
WBS - estimated items,Flooring,Tile,Interest Picket Mosaic (11x15 Mesh) - Mirror,6BNIPM/MI,0e0d6730-946f-4053-84f3-ebf71dad3973,Yes
WBS - estimated items,Flooring,Tile,Intrigue Picket Mosaic (11x15 Mesh) - Mirror,6IPM/MI,0e0d6730-946f-4053-84f3-ebf71dad3973,Yes
Echelon-EPP - estimated items,Flooring,Tile,Pebble Oasis Flat Natural Stone 13x13 - Icicle,6DTPO1313/PB18,0e156fdb-1254-487c-90e1-de93e42417f2,Yes
WBS - estimated items,Flooring,Tile,Impact Mosaic (12x12 Mesh) 2x2 - White,6IM22M/WH,0e23c46d-5405-420f-8ba4-438b8dc97be9,Yes
WBS - estimated items,Flooring,Tile,Integrate Mosaic (12x12 Mesh) 2x2 - White,6BNIM22M/WH,0e23c46d-5405-420f-8ba4-438b8dc97be9,Yes
Echelon-EPP - estimated items,Flooring,Tile,DT Color Wheel Mosaic 2x2 Matte - Urban Putty 0761,6DTCWM2M/0761,0e357c23-db75-4ec9-810c-e04bcc508cd3,Yes
WBS - estimated items,Flooring,Tile,Casablanca 8x8 - Heritage,6C88/HE,0e3c80c5-656d-4138-a7e3-e4219944125c,Yes
WBS - estimated items,Flooring,Tile,Grace 8x8 - Heritage,6BNC88/HE,0e3c80c5-656d-4138-a7e3-e4219944125c,Yes
Echelon-EPP - estimated items,Flooring,Tile,Alluro Mini Castle Mosaic Mesh 12x12 - White/Silver,6ALAMC12/WHIS,0e62dbc9-19f5-47e6-b28d-4c5096d1cb28,Yes
